tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,Price,Years experience ,no of s project done
AGC000ETT14000011,"Invitation To Tender for The Supply, Delivery, Support of E-Discovery Software with an option for maintenance of software",Attorney-General's Chambers,28-01-2015,Awarded to Suppliers,NCS PTE. LTD.,243000,1,2
AGC000ETT14000012,Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years,Attorney-General's Chambers,09-03-2015,Awarded to Suppliers,PROPELL INTEGRATED PTE LTD,1747000,,2
AGC000ETT15000002,"Invitation To Tender for the Supply, Delivery, Support of Microsoft Licenses from Microsoft Government Licensing Programme (MGLP) for Attorney-General's Chambers (AGC) - MGLP SELECT PLUS Agreement Number 6255037",Attorney-General's Chambers,29-04-2015,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd,181836.2,1,2
AGC000ETT15000003,Invitation To Tender for Minor Renovation Works at Level 14 for The Attorney-General's Chambers,Attorney-General's Chambers,02-06-2015,Awarded to Suppliers,NEEW PTE. LTD.,51918.5,2,2
AGC000ETT15000004,Invitation To Tender for Application Maintenance and Support for Enterprise Legal Management System (ELMS) for Attorney-General's Chambers,Attorney-General's Chambers,16-07-2015,Awarded to No Suppliers,Unknown,0,2,2
AGC000ETT15000005,"Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers",Attorney-General's Chambers,14-09-2015,Awarded to Suppliers,TAIGER SPAIN S.L.,1050267.62,2,2
AGC000ETT15000006,"INVITATION TO TENDER FOR RENOVATION WORKS TO THE LITIGATION SUPPORT ROOMS AT LEVEL 9,10 AND 12 OF ATTORNEY-GENERAL'S CHAMBERS",Attorney-General's Chambers,05-08-2015,Awarded to Suppliers,NEEW PTE. LTD.,55400,2,2
AGC000ETT15000007,"The Government of the Republic of Singapore, acting through the Attorney-Generals Chambers, invites Tenderers to submit Tender Offers for the contract to provide services for the management and operation of the AGCs Chan Sek Keong Library. The contract shall be for a term of one year, from 1 April 2016 to 31 March 2017, with an option for the Government to extend the contract for another year at the end of each consecutive year until 31 March 2019.",Attorney-General's Chambers,04-11-2015,Awarded to Suppliers,CIVICA PTE. LTD.,919080,2,2
AGC000ETT15000008,Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.,Attorney-General's Chambers,26-11-2015,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,520000,2,2
AGC000ETT15000009,INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,03-11-2015,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd,996648,2,2
AGC000ETT15000014,"ITT for the supply, design, configuration, customisation, testing, installation and commissioning of a fully operational AGC Sentencing Repository with an option for maintenance",Attorney-General's Chambers,27-11-2015,Awarded to Suppliers,ZWAAN PTE. LTD.,331250,2,2
AGC000ETT15000015,"Supplier is to provide hardware devices (iOS and Andriod) including accessories (casing and screen protector), SIM card and services to package the accessories (paste screen protector, insert SIM card and put in casing) for delivery. In addition, the supplier is to provide mobile data lines for subscription.",Attorney-General's Chambers,22-01-2016,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,166403.8,2,2
AGC000ETT15000017,"Invitation To Tender (ITT) for the Supply, Design, Development, Delivery, Testing, Installation and Commissioning of a Fully Operational Singapore Statutes Online (""SSO"") with an Option for Maintenance",Attorney-General's Chambers,01-03-2016,Awarded to Suppliers,SMART-WARES PTE. LTD.,1573726,2,2
AGC000ETT15000018,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,22-12-2015,Awarded to No Suppliers,Unknown,0,2,2
AGC000ETT15000019,Invitation To Tender for the provision of offsite disaster Recovery facilities management and hosting services,Attorney-General's Chambers,21-04-2016,Awarded to Suppliers,NCS PTE. LTD.,232450.28,2,2
AGC000ETT15000020,"Invitation To Tender (ITT) for Supply, Delivery, Installation, Implementation and Maintenance of Asset Management System for AGC",Attorney-General's Chambers,06-04-2016,Awarded to Suppliers,RAPTECH PTE. LTD.,605489,2,2
AGC000ETT16000001,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND TESTING OF MOBILE WIFI ROUTER DEVICES AND MOBILE LINES WITH DATA PLAN SUBSCRIPTION",Attorney-General's Chambers,10-05-2016,Awarded to Suppliers,BTW Technology Pte Ltd,197064.3,2,2
AGC000ETT16000003,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR ENTERPRISE LEGAL MANAGEMENT SYSTEM (ELMS) FOR ATTORNEY-GENERAL'S CHAMBERS,Attorney-General's Chambers,27-04-2016,Awarded to Suppliers,NOVACITYNETS PTE LTD,2640325,2,2
AGC000ETT16000004,"ITT FOR THE PROVISION OF APPLICATION MAINTENANCE AND SUPPORT FOR THE SPYDUS LIBRARY SYSTEM FOR THE ATTORNEY-GENERALS CHAMBER, THE SUPREME COURT AND THE STATE COURTS",Attorney-General's Chambers,16-09-2016,Awarded to Suppliers,CIVICA PTE. LTD.,395374,2,2
AGC000ETT16000005,INVITATION TO TENDER FOR THE PROVISION OF OFFSITE STORAGE FOR THE ATTORNEY-GENERAL'S CHAMBERS FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR,Attorney-General's Chambers,15-09-2016,Awarded to No Suppliers,Unknown,0,2,2
AGC000ETT16000007,"To conduct security risk assessment, review existing security measures and develop security protection plan and security procedures for Attorney-General's Chambers.",Attorney-General's Chambers,29-09-2016,Awarded to Suppliers,JACOBS INTERNATIONAL CONSULTANTS PTE. LTD.,52400,2,2
AGC000ETT16000022,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,01-12-2016,Awarded to Suppliers,ARMSTRONG TALENT DEVELOPMENT,74500,2,2
AGO000ETT15000001,"Minor Addition And Alteration, with Design Adaption Works to Auditor-General's Office",Auditor-General's Office,17-02-2015,Awarded to Suppliers,E.ID PROJECTS PTE. LTD.,72780,2,2
AVA000ETT14000028,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to carry out repair and redecoration (R&R)works at the Chicken Isolators Room",Agri-food and Veterinary Authority,07-01-2015,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,418000,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,BIO-REV PTE. LTD.,6209,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,192359,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,ITS Science & Medical Pte Ltd,600,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,Mettler-Toledo (S) Pte Ltd,4160,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,Palico Biotech Pte Ltd,2760.45,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,SARTORIUS SINGAPORE PTE. LTD.,2020,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD,874,2,2
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,TRADE 21 PTE. LTD.,2768.5,2,2
AVA000ETT14000031,Tender for the preventive maintenance and corrective maintenance of generators at Marine Aquaculture Centre,Agri-food and Veterinary Authority,21-01-2015,Awarded to Suppliers,CA FACILITIES PTE. LTD.,55450,2,2
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,06-03-2015,Awarded to Suppliers,BLUE OCEAN HARVEST PTE. LTD.,221140,2,2
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,06-03-2015,Awarded to Suppliers,GLOBEX GREEN LLP,309225,2,3
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,06-03-2015,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,364200,2,3
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,06-03-2015,Awarded to Suppliers,PHAEDRUS AQUATECH PTE. LTD.,258645,2,3
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,06-03-2015,Awarded to Suppliers,SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE. LTD.,304400,2,3
AVA000ETT14000033,Tender for a Two-year period contract for the supply and delivery of acids for lab use,Agri-food and Veterinary Authority,11-02-2015,Awarded to Suppliers,AIK MOH PAINTS & CHEMICALS PTE LTD,38826.4,2,3
AVA000ETT14000033,Tender for a Two-year period contract for the supply and delivery of acids for lab use,Agri-food and Veterinary Authority,11-02-2015,Awarded to Suppliers,MERCK PTE. LTD.,224.8,2,3
AVA000ETT14000033,Tender for a Two-year period contract for the supply and delivery of acids for lab use,Agri-food and Veterinary Authority,11-02-2015,Awarded to Suppliers,TEE HAI CHEM PTE LTD,79790,2,3
AVA000ETT14000034,Tender for the laboratory renovation and facility/furniture supply for the radionuclides testing facility at the Veterinary Public Health Centre (VPHC) 10 Perahu Road Singapore 718837,Agri-food and Veterinary Authority,29-01-2015,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,588888,2,3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,20173,2,3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,Achema Pte Ltd,1860,2,3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,IT TECHNOLOGIES PTE LTD,22736.3,2,3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,OMEGA SCIENTIFIC PTE LTD,19635,2,3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,Research Instruments Pte Ltd,3390,2,3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.,19738,2,3
AVA000ETT14000037,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One Unit of Alpha Spectrometer System for Lab Testing",Agri-food and Veterinary Authority,10-02-2015,Awarded to Suppliers,Analytical Technologies Pte Ltd,145000,2,3
AVA000ETT14000038,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One unit of Liquid Scintillation Spectrometer",Agri-food and Veterinary Authority,08-04-2015,Awarded to Suppliers,PerkinElmer Singapore Pte Ltd,120150,2,3
AVA000ETT14000040,"Tender for the Provision of Labour, Materials, Machinery, Equipment and other Logistics Arrangements to carry out Parts Replacement and Reinstatement of the Aquaculture Water System at Animal & Plant Health Centre (APHC), 6 Perahu Road, Singapore 718827",Agri-food and Veterinary Authority,07-05-2015,Awarded to Suppliers,SGP MANAGERS & ENGINEERS PTE. LTD.,78663.14,2,3
AVA000ETT14000041,"Tender for the Supply, Installation and Commissioning of One Unit of Nucleic Acid Extraction System",Agri-food and Veterinary Authority,10-07-2015,Awarded to Suppliers,SCIENCEWERKE PTE LTD,75000,2,3
AVA000ETT14000042,Tender for the supply and installation of Ultra-Filtration System at Marine Aquaculture Centre (MAC) on St John's Island,Agri-food and Veterinary Authority,14-05-2015,Awarded to Suppliers,CUTECH SOLUTIONS & SERVICES PTE. LTD.,104500,2,3
AVA000ETT14000043,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",Agri-food and Veterinary Authority,27-02-2015,Awarded to Suppliers,NDT INSTRUMENTS PTE LTD,44800,2,3
AVA000ETT14000043,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",Agri-food and Veterinary Authority,27-02-2015,Awarded to Suppliers,SECOM (SINGAPORE) PTE LTD,187125,2,3
AVA000ETT14000044,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Inductively Coupled Plasma Mass Spectrometer (ICP-MS) & 1 unit of Inductively Coupled Plasma Optical Emission Spectrometer (ICP-OES)",Agri-food and Veterinary Authority,22-04-2015,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,704568.55,2,3
AVA000ETT14000045,"Tender for the Supply, Delivery, Installation and Commissioning Of Two Units (2) of Ultra High Performance Liquid Chromatograph- Triple Quadrupole Mass Spectrometer Systems (UHPLC/MS/MS)",Agri-food and Veterinary Authority,30-03-2015,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,883048.42,2,3
AVA000ETT14000046,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to re-construct, screed and apply epoxy coat to the floor of the Virology BSL3 Lab at Animal & Plant Health Centre",Agri-food and Veterinary Authority,08-05-2015,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,128888,2,3
AVA000ETT14000047,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Gas Chromatograph-Triple Quadrupole Mass Spectrometer (GC-MS/MS) System",Agri-food and Veterinary Authority,16-04-2015,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,184100,2,3
AVA000ETT14000051,Tender for the venue and catering services for urban sustanability R&D congress 2015,Agri-food and Veterinary Authority,17-03-2015,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,240887.72,2,3
AVA000ETT14000052,"Tender for the supply, installation and commissioning of one (1) unit of Media Preparator",Agri-food and Veterinary Authority,24-08-2015,Awarded to Suppliers,QUINTECH LIFE SCIENCES PTE. LTD.,40535,2,3
AVA000ETT15000001,Tender for the Maintenance of Intelligent Food Approval and Safety Tracking System,Agri-food and Veterinary Authority,08-07-2015,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,1491900,2,3
AVA000ETT15000002,"Tender for the provision of multi-disciplinary team(Architectural, Civil & Structural, Mechanical & Electrical and Quantity Surveying) Consultancy Services for the development of New Animal Facility cum Education Centre",Agri-food and Veterinary Authority,14-05-2015,Awarded to Suppliers,MODE ARCHITECTS PRIVATE LIMITED,386000,2,3
AVA000ETT15000003,Rectification of building defects at Marine Aquaculture Centre,Agri-food and Veterinary Authority,24-04-2015,Awarded to Suppliers,UNITED SPECIALISTS PTE LTD,85000,2,3
AVA000ETT15000004,Tender for the provision of integrated facilities management services (IFM) at the Marine Aquaculture Centre (MAC),Agri-food and Veterinary Authority,21-05-2015,Awarded to Suppliers,CA FACILITIES PTE. LTD.,7731891,2,3
AVA000ETT15000005,Tender for the underwater maintenance works at AVA Fish Farm off St John's Island,Agri-food and Veterinary Authority,13-05-2015,Awarded to Suppliers,DATAWIN ENTERPRISES,119900,2,3
AVA000ETT15000007,Tender for the two-year period contract for the supply of dog and cat food,Agri-food and Veterinary Authority,28-08-2015,Awarded to Suppliers,B2K PET PRODUCTS PTE. LTD.,98648.12,2,3
AVA000ETT15000007,Tender for the two-year period contract for the supply of dog and cat food,Agri-food and Veterinary Authority,28-08-2015,Awarded to Suppliers,PETSPLAY,31404,2,3
AVA000ETT15000007,Tender for the two-year period contract for the supply of dog and cat food,Agri-food and Veterinary Authority,28-08-2015,Awarded to Suppliers,Wildlife & Veterinary Supplies,15312.57,2,3
AVA000ETT15000009,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,Agri-food and Veterinary Authority,31-05-2015,Awarded to No Suppliers,Unknown,0,2,3
AVA000ETT15000013,Tender for the Provision of Medical Services for AVA Officers,Agri-food and Veterinary Authority,09-07-2015,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,214894.97,2,3
AVA000ETT15000015,Tender for the supply and delivery of fish feeds,Agri-food and Veterinary Authority,14-08-2015,Awarded to No Suppliers,Unknown,0,2,3
AVA000ETT15000016,Tender for event management services for AVA's Public Education Programmes,Agri-food and Veterinary Authority,28-09-2015,Awarded to Suppliers,GEES MARKETING PTE. LTD.,1195000.05,2,3
AVA000ETT15000017,Tender for planimetric survey and cadastral survey works at Lim Chu Kang and Sungei Tengah,Agri-food and Veterinary Authority,23-07-2015,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.,198988,2,3
AVA000ETT15000018,Tender for the provision of services for clearance and disposal of vegetation and trees at Sungei Tengah Agrotech Park,Agri-food and Veterinary Authority,06-08-2015,Awarded to Suppliers,KIAT LEE LANDSCAPE & BUILDING PTE LTD,326040,2,3
AVA000ETT15000020,Tender for the two-year period contract for the supply and delivery of pre-poured agar plates for Lab use at Agri-Food & Veterinary Authority No.6 Perahu Road (S718827) & 10 Perahu Road (S718837),Agri-food and Veterinary Authority,07-01-2016,Awarded to Suppliers,BIOMERIEUX SINGAPORE PTE. LTD.,21240,2,3
AVA000ETT15000020,Tender for the two-year period contract for the supply and delivery of pre-poured agar plates for Lab use at Agri-Food & Veterinary Authority No.6 Perahu Road (S718827) & 10 Perahu Road (S718837),Agri-food and Veterinary Authority,07-01-2016,Awarded to Suppliers,THERMO SCIENTIFIC MICROBIOLOGY PTE. LTD.,199306.2,2,3
AVA000ETT15000021,Tender for soil investigation works at Lim Chu Kang and Sungei Tengah,Agri-food and Veterinary Authority,14-08-2015,Awarded to Suppliers,SOIL INVESTIGATION PTE. LIMITED,318800,3,3
AVA000ETT15000022,Tender for the supply and delivery of three (3) executive saloon cars,Agri-food and Veterinary Authority,29-10-2015,Awarded to Suppliers,CYCLE & CARRIAGE KIA PTE LTD,309343.98,3,3
AVA000ETT15000023,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,Agri-food and Veterinary Authority,13-07-2015,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,88033,3,3
AVA000ETT15000026,Tender for the Provision of corrective maintenance spares for diesel generator sets (Cummins KTA38-G5) at Marine Aquaculture Centre,Agri-food and Veterinary Authority,19-08-2015,Awarded to Suppliers,CA FACILITIES PTE. LTD.,37476.17,3,3
AVA000ETT15000027,"Tender for the Provision of bus transportation services for Agri-Bio Park, Lim Chu Kang",Agri-food and Veterinary Authority,20-08-2015,Awarded to Suppliers,BRICKSTON TRANSPORT SERVICE,134400,3,3
AVA000ETT15000029,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,25-09-2015,Awarded to Suppliers,HONG HENG FISHERY PTE. LTD.,3000,3,3
AVA000ETT15000029,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,25-09-2015,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,1450,3,3
AVA000ETT15000029,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,25-09-2015,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,9000,3,3
AVA000ETT15000031,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,KIM SUM FISH AGENT,905,3,3
AVA000ETT15000031,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,LIE MENG FISH MERCHANT,1500,3,3
AVA000ETT15000031,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,22-09-2015,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,3888,3,3
AVA000ETT15000034,"Provision of multi-disciplinary (civil & structural, architectural, mechanical & electrical and quantity surveying) consultancy services for site preparation and infrastructure works at Lim Chu Kang and Sungei Tengah",Agri-food and Veterinary Authority,27-01-2016,Awarded to No Suppliers,Unknown,0,3,1
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20-04-2016,Awarded to Suppliers,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,11325,3,1
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20-04-2016,Awarded to Suppliers,LEEDEN NATIONAL OXYGEN LTD.,83848.5,3,1
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20-04-2016,Awarded to Suppliers,VERSUM MATERIALS SINGAPORE PTE. LTD.,74969.5,3,1
AVA000ETT15000038,Tender for the Site clearance works at Lim Chu Kang and Sungei Tengah,Agri-food and Veterinary Authority,02-02-2016,Awarded to No Suppliers,Unknown,0,3,1
